mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-163,Br[InH-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)I,-2.49569344,0.45856601,2.95425945,-454804.15944034
a-164,NCCCC[AlH-](S(=O)(=O)C(F)(F)F)CCC(=O)O,-2.42323569,1.80002996,4.22326565,-43892.03215355
a-165,CCCCC[C-](S(=O)(=O)C)c1ccccc1C(=O)O,-0.7023159999999999,1.4985354800000001,2.20085148,-33897.91112881
a-166,I[NbH3-](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)CCCS,-1.40307607,0.54211711,1.94519318,-340303.29051499
a-167,CC[NbH3-](S(=O)(=O)C(F)(F)F)c1ccc(cc1)C,-1.68526189,1.08768593,2.77294782,-138642.33938142
a-168,CSCCC(c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)(C(CC)C)C(=O)[O-],-0.89856198,1.20715854,2.10572052,-52262.26528933
a-169,[O-]S(=O)(=O)C,-0.5467588800000001,3.96153655,4.50829543,-18111.50850934
a-170,OC(=O)C[AlH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,-3.03262053,1.3237809600000001,4.35640149,-65646.79504602
a-171,SCCC[GaH-](CCSC)S,-1.17451254,1.9711478599999999,3.1456604,-92300.38824879
a-172,CC[SbH3-](C(C(C(F)(F)F)(F)F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,-1.84760711,0.63661399,2.4842211,-227865.56354927
a-173,CCCCCCCC[Si](c1ccc(cc1)[C-](CCCN)S)(C)C,0.26163227,1.53636767,1.2747354,-41592.66310983
a-174,CSCC[InH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)COC(F)(F)F,-2.44654929,1.6054150200000001,4.05196431,-225683.78844249
a-175,CCCCCC[C-](C(C(C(F)(F)F)(F)F)(F)F)CCCS,0.49402623,2.12125502,1.62722879,-43720.48158764
a-176,Cl[C-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,-0.88747609,2.36811414,3.25559023,-57913.41188106
a-177,CC[GaH-](CCOCCOC)CCCS,-1.28947537,2.10753946,3.39701483,-78914.57341782
a-178,SCCC[AsH3-](c1ccc(cc1)[Si](CCCCCCCC)(C)C)CCOCCOC,-0.73513036,1.24108472,1.97621508,-110430.41034242
a-179,CC(C[InH-](C(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)C,-2.10279898,1.31135556,3.41415454,-216278.53466927
a-180,NCCCC(S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)[O-],-2.0882533,0.01908002,2.10733332,-102363.24603283
a-181,SCCC[C-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)C(CC)C,0.36501696,1.7865288700000002,1.42151191,-47126.98235348
a-182,OC(=O)CC[TaH3-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)C,-2.1503159,0.79987436,2.9501902600000003,-480557.01809292
